Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Akki4A,10/20/2020 13:49,0:13:23,,Friends: Season 5: The One Where Rachel Smokes (Episode 18),,Apple iPhone 6s,0:14:05,Not latest view,IN (India)
Akki4A,10/20/2020 5:39,0:00:01,Autoplayed: user action: None; ,Friends: Season 5: The One Where Rachel Smokes (Episode 18),,Chrome PC (Cadmium),0:00:01,Not latest view,IN (India)
Akki4A,10/20/2020 5:17,0:21:27,,Friends: Season 5: The One with Rachel's Inadvertent Kiss (Episode 17),,Chrome PC (Cadmium),0:22:08,0:22:08,IN (India)
Akki4A,10/19/2020 15:11,0:00:08,Autoplayed: user action: None; ,Friends: Season 5: The One with Rachel's Inadvertent Kiss (Episode 17),,Chrome PC (Cadmium),0:00:08,Not latest view,IN (India)
Akki4A,10/19/2020 14:48,0:17:43,,Friends: Season 5: The One with the Cop (Episode 16),,Chrome PC (Cadmium),0:22:01,0:22:01,IN (India)
Akki4A,10/19/2020 14:48,0:00:05,Autoplayed: user action: None; ,Season 3 Trailer: Star Trek: Discovery,TRAILER,Chrome PC (Cadmium),0:00:05,0:00:05,IN (India)
Akki4A,10/19/2020 8:19,0:03:40,Autoplayed: user action: None; ,Friends: Season 5: The One with the Cop (Episode 16),,Chrome PC (Cadmium),0:04:18,Not latest view,IN (India)
Akki4A,10/19/2020 7:45,0:06:33,,Friends: Season 5: The One with the Girl Who Hits Joey (Episode 15),,Chrome PC (Cadmium),0:22:07,0:22:07,IN (India)
Akki4A,10/19/2020 7:45,0:00:13,Autoplayed: user action: None; ,Season 3 Trailer: Star Trek: Discovery,TRAILER,Chrome PC (Cadmium),0:00:13,Not latest view,IN (India)
Akki4A,10/18/2020 15:57,0:03:34,,Friends: Season 5: The One with the Girl Who Hits Joey (Episode 15),,Chrome PC (Cadmium),0:15:34,Not latest view,IN (India)
Akki4A,10/18/2020 15:57,0:00:08,Autoplayed: user action: None; ,Wonder_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:08,0:00:08,IN (India)
Akki4A,10/18/2020 6:36,0:08:13,,Friends: Season 5: The One with the Girl Who Hits Joey (Episode 15),,Apple iPhone 6s,0:12:00,Not latest view,IN (India)
Akki4A,10/17/2020 16:36,0:51:13,,Serious Men,,Apple iPhone 6s,1:52:41,1:52:41,IN (India)
Akki4A,10/17/2020 16:17,0:12:59,,Serious Men,,Apple iPhone 6s,1:01:18,Not latest view,IN (India)
Akki4A,10/17/2020 16:05,0:05:32,,Serious Men,,Apple iPhone 6s,0:48:29,Not latest view,IN (India)
Akki4A,10/17/2020 15:48,0:02:43,,Serious Men,,Apple iPhone 6s,0:43:17,Not latest view,IN (India)
Akki4A,10/17/2020 14:32,0:03:47,Autoplayed: user action: None; ,Friends: Season 5: The One with the Girl Who Hits Joey (Episode 15),,Chrome PC (Cadmium),0:03:47,Not latest view,IN (India)
Akki4A,10/17/2020 14:24,0:06:47,,Friends: Season 5: The One Where Everybody Finds Out (Episode 14),,Chrome PC (Cadmium),0:22:09,0:22:09,IN (India)
Akki4A,10/17/2020 13:07,0:40:55,,Serious Men,,Apple iPhone 6s,0:40:34,Not latest view,IN (India)
Akki4A,10/17/2020 8:06,0:15:22,Autoplayed: user action: None; ,Friends: Season 5: The One Where Everybody Finds Out (Episode 14),,Chrome PC (Cadmium),0:15:22,Not latest view,IN (India)
Akki4A,10/17/2020 8:00,0:06:09,,Friends: Season 5: The One with Joey's Bag (Episode 13),,Chrome PC (Cadmium),0:22:06,0:22:06,IN (India)
Akki4A,10/16/2020 13:09,0:06:08,,Friends: Season 5: The One with Joey's Bag (Episode 13),,Chrome PC (Cadmium),0:15:57,Not latest view,IN (India)
Akki4A,10/16/2020 10:16,0:03:41,,Don Jon,,Apple iPhone 6s,1:24:25,1:24:25,IN (India)
Akki4A,10/16/2020 10:05,0:09:15,,Friends: Season 5: The One with Joey's Bag (Episode 13),,Apple iPhone 6s,0:09:49,Not latest view,IN (India)
Akki4A,10/16/2020 9:45,0:17:29,,Friends: Season 5: The One with Chandler's Work Laugh (Episode 12),,Apple iPhone 6s,0:22:06,0:22:06,IN (India)
Akki4A,10/16/2020 5:55,0:04:06,Autoplayed: user action: None; ,Friends: Season 5: The One with Chandler's Work Laugh (Episode 12),,Chrome PC (Cadmium),0:04:46,Not latest view,IN (India)
Akki4A,10/16/2020 5:44,0:11:08,,Friends: Season 5: The One with All the Resolutions (Episode 11),,Chrome PC (Cadmium),0:22:08,0:22:08,IN (India)
Akki4A,10/16/2020 5:43,0:00:05,Autoplayed: user action: None; ,Fida_hook_02_16x9,HOOK,Chrome PC (Cadmium),0:00:05,0:00:05,IN (India)
Akki4A,10/15/2020 6:08,0:11:10,Autoplayed: user action: None; ,Friends: Season 5: The One with All the Resolutions (Episode 11),,Chrome PC (Cadmium),0:11:00,Not latest view,IN (India)
Akki4A,10/15/2020 6:03,0:03:14,,Friends: Season 5: The One with the Inappropriate Sister (Episode 10),,Chrome PC (Cadmium),0:22:08,0:22:08,IN (India)
Akki4A,10/14/2020 14:45,0:18:54,,Friends: Season 5: The One with the Inappropriate Sister (Episode 10),,Chrome PC (Cadmium),0:18:54,Not latest view,IN (India)
Akki4A,10/14/2020 5:39,0:00:08,Autoplayed: user action: None; ,Gods of Egypt_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:08,0:00:08,IN (India)
